transaction_id,amount,utr,timestamp,reference_id
TXN001,1000.00,UTR123456789,2024-01-15 10:30:00,REF001
TXN002,2500.50,UTR123456790,2024-01-15 11:45:00,REF002
TXN003,750.25,UTR123456791,2024-01-15 12:15:00,REF003
TXN004,3200.00,UTR123456792,2024-01-15 13:30:00,REF004
TXN005,1850.75,UTR123456793,2024-01-15 14:20:00,REF005
TXN006,950.00,UTR123456794,2024-01-15 15:10:00,REF006
TXN007,4500.00,UTR123456795,2024-01-15 16:45:00,REF007
TXN008,1200.00,UTR123456796,2024-01-15 17:30:00,REF008
TXN009,800.00,UTR123456797,2024-01-15 18:15:00,REF009
TXN010,2200.00,UTR123456798,2024-01-15 19:00:00,REF010